Lineage,Earliest date
B.1.222,2020-02-24
B.1.223,2020-02-28
B.1.224,2020-03-16
B.1.225,2020-03-19
B.1.227,2020-03-16
B.1.229,2020-03-19
B.1.231,2020-03-19
B.1.232,2020-04-06
B.1.233,2020-06-16
B.1.234,2020-06-03
B.1.235,2020-06-08
B.1.236,2020-04-15
B.1.237,2020-04-24
B.1.238,2020-05-14
B.1.239,2020-04-09
B.1.240,2020-03-22
B.1.240.1,2020-08-04
B.1.240.2,2020-08-24
B.1.241,2020-04-15
B.1.243,2020-03-23
B.1.243.1,2020-12-15
B.1.243.2,2021-05-10
B.1.242,2020-04-21
B.1.245,2020-03-24
B.1.247,2020-04-06
B.1.249,2020-04-11
B.1.248,2020-03-28
B.1.250,2020-03-12
B.1.251,2020-06-01
B.1.252,2020-03-27
B.1.254,2020-04-06
B.1.256,2020-03-22
B.1.258,2020-03-22
B.1.258.2,2020-06-23
G.1,2020-09-10
B.1.258.3,2020-07-06
B.1.258.4,2020-09-03
B.1.258.5,2020-09-09
B.1.258.6,2020-09-10
B.1.258.7,2020-08-29
B.1.258.9,2020-08-31
B.1.258.10,2020-09-17
B.1.258.11,2020-09-14
B.1.258.12,2020-09-20
B.1.258.14,2020-10-04
B.1.258.15,2020-11-10
B.1.258.16,2020-11-23
B.1.258.17,2020-08-17
B.1.258.18,2020-10-05
B.1.258.19,2020-11-23
B.1.258.20,2020-09-23
B.1.258.21,2020-10-08
B.1.258.22,2020-12-07
B.1.258.23,2020-11-18
B.1.258.24,2020-11-19
B.1.260,2020-03-24
B.1.263,2020-03-19
B.1.264,2020-03-13
B.1.264.1,2020-08-26
B.1.265,2020-03-15
B.1.267,2020-03-24
B.1.268,2020-03-18
B.1.270,2020-03-18
B.1.273,2020-03-13
B.1.274,2020-04-13
B.1.276,2020-03-22
B.1.277,2020-03-04
B.1.279,2020-03-15
B.1.280,2020-06-27
B.1.281,2020-04-08
B.1.282,2020-06-01
B.1.284,2020-03-16
B.1.285,2020-06-10
B.1.287,2020-06-02
B.1.289,2020-03-29
B.1.291,2020-04-21
B.1.292,2020-04-01
B.1.293,2020-03-16
B.1.294,2020-06-16
B.1.298,2020-03-20
B.1.301,2020-04-01
B.1.302,2020-03-12
B.1.304,2020-06-05
B.1.305,2020-06-04
B.1.306,2020-06-03
B.1.308,2020-03-22
B.1.309,2020-06-29
B.1.310,2020-04-01
B.1.311,2020-03-31
B.1.313,2020-04-01
B.1.314,2020-03-13
B.1.315,2020-03-25
B.1.316,2020-04-29
B.1.318,2020-06-22
B.1.319,2020-03-05
B.1.320,2020-03-07
B.1.321,2020-03-09
B.1.323,2020-03-13
B.1.324,2020-03-15
B.1.325,2020-03-19
B.1.326,2020-04-25
B.1.328,2020-05-23
B.1.329,2020-03-23
B.1.330,2020-03-24
B.1.332,2020-03-10
B.1.333,2020-03-17
B.1.334,2020-03-20
B.1.335,2020-04-28
B.1.336,2020-03-13
B.1.337,2020-07-03
B.1.338,2020-03-16
B.1.340,2020-03-13
